ID; A.X; A.Y; B.X; B.Y; A; L
2905;-481709;-1264865;-481009;-1261165;10;3765;
3965;-481709;-1264865;-481009;-1261165;10;3765;
17364;-481709;-1264865;-481009;-1261165;10;3765;
19570;-481709;-1264865;-481009;-1261165;10;3765;
20766;-476509;-1260865;-473609;-1258465;50;3764;
2677;-463409;-1273665;-460809;-1270965;43;3748;
3786;-463409;-1273665;-460809;-1270965;43;3748;
5514;-480709;-1303065;-478109;-1305765;136;3748;
14627;-501009;-1278965;-500409;-1282665;170;3748;
14803;-463309;-1273565;-460709;-1270865;43;3748;
2241;-489309;-1317365;-487209;-1320465;145;3744;
7324;-470809;-1329265;-467209;-1330265;105;3736;
20922;-470809;-1329265;-467209;-1330265;105;3736;
16062;-450609;-1272565;-450209;-1268865;6;3721;
20207;-489709;-1284665;-489309;-1288365;173;3721;
16058;-495009;-1270965;-493509;-1274365;156;3716;
1637;-467509;-1268565;-467209;-1264865;4;3712;
16093;-467509;-1268565;-467209;-1264865;4;3712;
11637;-475409;-1240565;-471709;-1240365;86;3705;
1198;-455409;-1298465;-455309;-1302165;178;3701;
2389;-455409;-1298465;-455309;-1302165;178;3701;
13026;-469309;-1317665;-466409;-1319965;128;3701;
11960;-480909;-1298665;-480909;-1294965;0;3700;
1644;-475909;-1271265;-475109;-1267665;12;3687;
16099;-475909;-1271265;-475109;-1267665;12;3687;
21010;-488709;-1318565;-486309;-1321365;139;3687;
25588;-491709;-1318265;-489909;-1321465;150;3671;
1977;-469809;-1253865;-468709;-1250365;17;3668;
16437;-469809;-1253865;-468709;-1250365;17;3668;
56;-470409;-1321165;-466809;-1321865;101;3667;
7371;-470509;-1321165;-466909;-1321865;101;3667;
20966;-470409;-1321165;-466809;-1321865;101;3667;
1450;-501009;-1278965;-500409;-1282565;170;3649;
15916;-501009;-1278965;-500409;-1282565;170;3649;
4870;-476009;-1271365;-475009;-1267865;15;3640;
17734;-470809;-1329265;-467309;-1330265;105;3640;
20473;-476009;-1271365;-475009;-1267865;15;3640;
21855;-471109;-1329165;-467609;-1330165;105;3640;
25634;-490309;-1314765;-488109;-1317665;142;3640;
14200;-491209;-1319265;-489309;-1322365;148;3635;
